                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.02208,                      1,                      1,                0.55464,               0.005446,               0.005446,               0.005446
                     95,                0.02067,                0.99663,                      1,                0.55456,              0.0053965,              0.0053965,              0.0053965
                     96,                0.03026,                0.99663,                      1,                 0.5553,               0.005347,               0.005347,               0.005347
                     97,                0.02844,                0.99663,                      1,                0.55556,              0.0052975,              0.0052975,              0.0052975
                     98,                0.02044,                0.99663,                      1,                0.55574,               0.005248,               0.005248,               0.005248
                     99,                0.01922,                0.99663,                      1,                0.55633,              0.0051985,              0.0051985,              0.0051985
                    100,                0.01713,                0.99663,                      1,                0.55772,               0.005149,               0.005149,               0.005149
                    101,                0.02608,                0.99663,                      1,                0.55721,              0.0050995,              0.0050995,              0.0050995
                    102,                0.02215,                0.99663,                      1,                0.55916,                0.00505,                0.00505,                0.00505
                    103,                0.01915,                0.99327,                      1,                0.55998,              0.0050005,              0.0050005,              0.0050005
                    104,                0.02478,                0.99663,                      1,                 0.5589,               0.004951,               0.004951,               0.004951
                    105,                0.02491,                0.99663,                      1,                0.55769,              0.0049015,              0.0049015,              0.0049015
                    106,                0.01701,                0.99663,                      1,                0.55733,               0.004852,               0.004852,               0.004852
                    107,                 0.0265,                0.99327,                      1,                0.55805,              0.0048025,              0.0048025,              0.0048025
                    108,                0.02103,                0.99327,                      1,                0.55829,               0.004753,               0.004753,               0.004753
                    109,                0.02004,                0.99327,                      1,                0.55936,              0.0047035,              0.0047035,              0.0047035
                    110,                0.01419,                0.99327,                      1,                0.55751,               0.004654,               0.004654,               0.004654
                    111,                0.01654,                0.99327,                      1,                0.55749,              0.0046045,              0.0046045,              0.0046045
                    112,                0.02366,                0.99327,                      1,                0.55839,               0.004555,               0.004555,               0.004555
                    113,                0.02157,                0.99327,                      1,                0.56129,              0.0045055,              0.0045055,              0.0045055
                    114,                0.02508,                0.99327,                      1,                 0.5597,               0.004456,               0.004456,               0.004456
                    115,                0.02087,                0.99327,                      1,                0.55921,              0.0044065,              0.0044065,              0.0044065
                    116,                0.01976,                0.99663,                      1,                0.55798,               0.004357,               0.004357,               0.004357
                    117,                0.01968,                0.99663,                      1,                0.55723,              0.0043075,              0.0043075,              0.0043075
                    118,                0.01545,                0.99663,                      1,                0.55669,               0.004258,               0.004258,               0.004258
                    119,                0.02322,                0.99663,                      1,                0.55564,              0.0042085,              0.0042085,              0.0042085
                    120,                0.02506,                0.99663,                      1,                0.55582,               0.004159,               0.004159,               0.004159
                    121,                0.02075,                0.99663,                      1,                 0.5559,              0.0041095,              0.0041095,              0.0041095
                    122,                0.02612,                0.99663,                      1,                0.55548,                0.00406,                0.00406,                0.00406
                    123,                0.01502,                      1,                      1,                0.55556,              0.0040105,              0.0040105,              0.0040105
                    124,                0.02515,                      1,                      1,                 0.5559,               0.003961,               0.003961,               0.003961
                    125,                 0.0194,                      1,                      1,                 0.5552,              0.0039115,              0.0039115,              0.0039115
                    126,                0.01931,                      1,                      1,                0.55541,               0.003862,               0.003862,               0.003862
                    127,                0.01013,                      1,                      1,                0.55559,              0.0038125,              0.0038125,              0.0038125
                    128,                0.01545,                      1,                      1,                0.55523,               0.003763,               0.003763,               0.003763
                    129,                0.01275,                      1,                      1,                0.55541,              0.0037135,              0.0037135,              0.0037135
                    130,                0.01552,                0.99663,                      1,                0.55649,               0.003664,               0.003664,               0.003664
